,quadrat,year,aream2,areakm2,near_palm,near_river,near_road,POINT_X,POINT_Y
116,202.0,2012.0,14399.99999870779,0.01439999999870779,1979.0,25038.0,2609.5,524290.0,9057568.5
117,202.0,2013.0,7073.039999598721,0.007073039999598721,2411.0,24172.5,1989.5,523430.5,9058162.5
118,202.0,2014.0,3599.999999727588,0.003599999999727588,2526.6666666666665,24823.0,1974.3333333333333,523438.0,9057335.0
119,202.0,2015.0,899.9999998393469,0.0008999999998393469,1172.0,26104.0,4431.0,525883.0,9057525.0
120,203.0,2001.0,30599.999998803833,0.030599999998803834,21034.777777777777,25245.11111111111,2546.6666666666665,529483.8333333334,9058672.166666666
121,203.0,2002.0,26099.999999525025,0.026099999999525024,20813.636363636364,24775.636363636364,1924.5454545454545,529167.7272727273,9057927.090909092
122,203.0,2003.0,27899.999998840503,0.027899999998840505,20480.4,24789.6,1958.2,528824.8461538,9057736.615384001
123,203.0,2004.0,18900.0000007404,0.0189000000007404,21925.14285714286,24077.85714285714,1339.5714285714287,530258.7142857143,9057797.142857144
124,203.0,2005.0,288173.04000084207,0.2881730400008421,20682.159090909092,24774.204545454544,2013.0227272727273,529042.6016114545,9057854.8643425
125,203.0,2006.0,102599.99999707507,0.10259999999707506,13576.64,24684.88,2107.28,530287.6581817999,9058527.7472728
126,203.0,2007.0,5400.000000569271,0.005400000000569271,3692.75,23988.5,1284.5,529460.5,9057165.0
127,203.0,2008.0,279000.0000024447,0.27900000000244474,494.04347826086956,24495.543478260868,2115.3478260869565,530316.9497628261,9058426.163623258
128,203.0,2009.0,413607.8400020441,0.4136078400020441,225.53225806451613,24342.483870967742,1978.032258064516,530434.513122113,9058323.017583711
129,203.0,2010.0,91314.45600052527,0.09131445600052528,313.04347826086956,24539.565217391304,2495.5652173913045,530050.6739130435,9058816.717391305
130,203.0,2011.0,205626.959999233,0.205626959999233,276.3333333333333,24050.875,1786.6666666666667,530922.8001893751,9058171.547348334
131,203.0,2012.0,815305.1350309257,0.8153051350309257,311.7647058823529,23694.843137254902,1541.3333333333333,530888.4795503725,9057772.925771372
132,203.0,2013.0,252292.7880027338,0.2522927880027338,350.5,23645.029411764706,1643.3529411764705,531553.7114050587,9058080.032986764
